Expiry,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Underlying
5/3/2019,SPY190503C00230000,63.94,2.915,62.42,65.8,1,0.02,1,0.0001,2,230,294.02
5/3/2019,SPY190503C00235000,58.96,2.935,57.43,60.8,3,0.02,1,0.0021,4,235,294.02
5/3/2019,SPY190503C00240000,53.95,2.925,52.43,55.8,14,0.02,1,0.0021,20,240,294.02
5/3/2019,SPY190503C00245000,0,0,48.1,50.16,0,0.02,1,0.0024,13,245,294.02
5/3/2019,SPY190503C00250000,43.91,2.88,43.1,45.16,10,0.02,1,0.0026,10,250,294.02
5/3/2019,SPY190503C00252500,0,0,40.6,42.7,0,0.02,1,0.0028,0,252.5,294.02
5/3/2019,SPY190503C00255000,0,0,38.36,38.76,0,0.02,1,0.0007,4,255,294.02
5/3/2019,SPY190503C00257500,0,0,35.62,33.99,0,0.02,0,0,5,257.5,294.02
5/3/2019,SPY190503C00260000,32.81,1.78,33.02,35.16,1,0.02,1,0.0034,4,260,294.02
5/3/2019,SPY190503C00261000,0,0,32.13,34.11,0,0.02,1,0.0035,1,261,294.02
5/3/2019,SPY190503C00262000,0,0,31.1,33.12,0,0.02,1,0.0036,0,262,294.02
5/3/2019,SPY190503C00262500,0,0,30.6,28.99,0,0.02,0,0,17,262.5,294.02
5/3/2019,SPY190503C00263000,0,0,30.1,32.12,0,0.02,1,0.0037,2,263,294.02
5/3/2019,SPY190503C00264000,0,0,29.1,31.12,0,0.02,1,0.0038,0,264,294.02
5/3/2019,SPY190503C00265000,0,0,28.47,29.62,0,0.02,1,0.0012,5,265,294.02
5/3/2019,SPY190503C00265500,0,0,28.61,28.84,10,0.02,0.969,0.0043,22,265.5,294.02
5/3/2019,SPY190503C00266000,0,0,27.5,28.61,0,0.02,1,0.0013,22,266,294.02
5/3/2019,SPY190503C00266500,0,0,26.97,28.13,0,0.02,1,0.0042,0,266.5,294.02
5/3/2019,SPY190503C00267000,0,0,26.13,28.15,0,0.02,1,0.0014,13,267,294.02
5/3/2019,SPY190503C00267500,0,0,25.63,27.64,0,0.02,1,0.0015,43,267.5,294.02
5/3/2019,SPY190503C00268000,26.23,3.185,25.92,26.61,1,0.02,0.9655,0.005,78,268,294.02
5/3/2019,SPY190503C00268500,0,0,24.99,26.11,0,0.02,1,0.0015,0,268.5,294.02
5/3/2019,SPY190503C00269000,0,0,24.5,25.61,0,0.02,1,0.0051,181,269,294.02
5/3/2019,SPY190503C00269500,0,0,23.98,25.13,0,0.02,1,0.0017,0,269.5,294.02
5/3/2019,SPY190503C00270000,24,2.915,24.15,24.29,11,0.02,0.9693,0.0051,226,270,294.02
5/3/2019,SPY190503C00270500,0,0,22.88,24.23,0,0.02,1,0.0048,0,270.5,294.02
5/3/2019,SPY190503C00271000,0,0,22.5,23.61,0,0.02,1,0.005,155,271,294.02
5/3/2019,SPY190503C00271500,0,0,21.62,23.76,0,0.02,0.9723,0.0051,0,271.5,294.02
5/3/2019,SPY190503C00272000,0,0,21.5,22.61,0,0.02,1,0.0063,172,272,294.02
5/3/2019,SPY190503C00272500,0,0,21.1,21.38,0,0.02,1,0.0007,139,272.5,294.02
5/3/2019,SPY190503C00273000,0,0,20.5,21.61,0,0.02,1,0.0056,110,273,294.02
5/3/2019,SPY190503C00273500,0,0,19.98,21.13,0,0.02,1,0.0056,0,273.5,294.02
5/3/2019,SPY190503C00274000,18.97,1.875,19.49,20.62,1,0.02,1,0.0058,180,274,294.02
5/3/2019,SPY190503C00274500,0,0,18.34,20.79,0,0.02,1,0.0019,0,274.5,294.02
5/3/2019,SPY190503C00275000,18.88,2.86,19.15,19.27,8,0.02,0.9701,0.0064,234,275,294.02
5/3/2019,SPY190503C00275500,0,0,16.93,20.16,0,0.02,1,0.0062,0,275.5,294.02
5/3/2019,SPY190503C00276000,17.6,2.525,18.15,18.29,40,0.02,0.9686,0.0069,185,276,294.02
5/3/2019,SPY190503C00276500,0,0,16.33,18.79,0,0.02,1,0.0028,0,276.5,294.02
5/3/2019,SPY190503C00277000,0,0,16.5,17.61,0,0.02,1,0.0068,560,277,294.02
5/3/2019,SPY190503C00277500,16.37,2.825,16.62,16.8,1,0.02,0.9697,0.0074,117,277.5,294.02
5/3/2019,SPY190503C00278000,15.94,2.89,15.53,16.55,55,0.02,1,0.007,533,278,294.02
5/3/2019,SPY190503C00278500,0,0,14.24,17.16,0,0.02,0.9711,0.0077,0,278.5,294.02
5/3/2019,SPY190503C00279000,14.77,2.655,14.5,15.55,11,0.02,1,0.0077,861,279,294.02
5/3/2019,SPY190503C00279500,0,0,12.93,15.79,0,0.02,1,0.004,1,279.5,294.02
5/3/2019,SPY190503C00280000,13.99,2.865,14.13,14.27,532,0.02,0.9709,0.0086,1829,280,294.02
5/3/2019,SPY190503C00280500,0,0,12.32,14.79,0,0.02,1,0.0046,0,280.5,294.02
5/3/2019,SPY190503C00281000,13.13,3.01,13.13,13.28,46,0.02,0.9701,0.0094,5379,281,294.02
5/3/2019,SPY190503C00281500,0,0,10.93,14.16,0,0.02,1,0.0092,0,281.5,294.02
5/3/2019,SPY190503C00282000,11.97,2.9,12.13,12.28,58,0.02,0.9693,0.0104,1347,282,294.02
5/3/2019,SPY190503C00282500,11.59,3.02,11.01,12.05,65,0.02,1,0.0104,1086,282.5,294.02
5/3/2019,SPY190503C00283000,11.07,2.945,11.13,11.28,243,0.02,0.9688,0.0114,951,283,294.02
5/3/2019,SPY190503C00283500,10.63,3.05,10.63,10.78,23,0.02,0.9686,0.012,12,283.5,294.02
5/3/2019,SPY190503C00284000,10.18,3.045,10.13,10.28,37,0.02,0.9686,0.0126,2942,284,294.02
5/3/2019,SPY190503C00284500,0,0,7.93,11.16,0,0.02,1,0.0123,0,284.5,294.02
5/3/2019,SPY190503C00285000,9.1,3.005,9.14,9.28,283,0.02,0.9661,0.0147,8087,285,294.02
5/3/2019,SPY190503C00285500,7.38,1.77,8.62,8.81,2,0.02,0.964,0.0161,10,285.5,294.02
5/3/2019,SPY190503C00286000,8.03,2.88,8.13,8.27,104,0.02,0.9687,0.0158,5672,286,294.02
5/3/2019,SPY190503C00286500,6.2,1.57,7.66,7.76,21,0.02,0.9646,0.0181,23,286.5,294.02
5/3/2019,SPY190503C00287000,7.04,2.84,7.13,7.28,59,0.02,0.9657,0.019,2729,287,294.02
5/3/2019,SPY190503C00287500,6.54,2.815,6.65,6.77,26,0.02,0.9627,0.0214,2384,287.5,294.02
5/3/2019,SPY190503C00288000,6.05,2.83,6.11,6.28,1489,0.02,0.9681,0.0212,2348,288,294.02
5/3/2019,SPY190503C00288500,5.34,2.57,5.62,5.79,62,0.02,0.9624,0.0254,198,288.5,294.02
5/3/2019,SPY190503C00289000,5.03,2.685,5.13,5.3,789,0.02,0.9553,0.0306,13996,289,294.02
5/3/2019,SPY190503C00289500,4.28,2.345,4.6,4.8,261,0.02,0.9616,0.0313,968,289.5,294.02
5/3/2019,SPY190503C00290000,4.11,2.545,4.11,4.31,4896,0.02,0.9526,0.0393,13076,290,294.02
5/3/2019,SPY190503C00290500,3.45,2.235,3.61,3.79,1455,0.02,0.957,0.0424,5631,290.5,294.02
5/3/2019,SPY190503C00291000,3.1,2.195,3.13,3.27,12794,0.02,0.9547,0.0506,16679,291,294.02
5/3/2019,SPY190503C00291500,2.68,2.035,2.63,2.8,6018,0.02,0.9351,0.0716,12094,291.5,294.02
5/3/2019,SPY190503C00292000,2.1,1.66,2.13,2.29,17312,0.02,0.93,0.0911,45201,292,294.02
