Expiry,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Underlying
5/3/2019,TSLA190503C00130000,0,0,123.3,126.5,0,0.02,1,0.0001,1,130,255.04
5/3/2019,TSLA190503C00135000,116.7,7.5,118.85,120.75,1,0.02,1,0.0001,3,135,255.04
5/3/2019,TSLA190503C00140000,0,0,113.25,116.7,0,0.02,1,0.0001,1,140,255.04
5/3/2019,TSLA190503C00145000,0,0,107.5,112.4,0,0.02,1,0.0001,1,145,255.04
5/3/2019,TSLA190503C00150000,0,0,103.95,105.95,0,0.02,1,0.0002,1,150,255.04
5/3/2019,TSLA190503C00155000,100.8,11.625,98.95,100.95,1,0.02,1,0.0007,1,155,255.04
5/3/2019,TSLA190503C00160000,0,0,93.25,96.7,0,0.02,1,0.0002,9,160,255.04
5/3/2019,TSLA190503C00165000,0,0,87.5,92.4,0,0.02,1,0.0001,2,165,255.04
5/3/2019,TSLA190503C00170000,0,0,83.25,86.7,0,0.02,1,0.0014,5,170,255.04
5/3/2019,TSLA190503C00175000,0,0,77.55,82.4,0,0.02,1,0.0015,2,175,255.04
5/3/2019,TSLA190503C00180000,0,0,73.45,76.5,0,0.02,1,0.0016,11,180,255.04
5/3/2019,TSLA190503C00185000,0,0,67.5,72.4,0,0.02,1,0.0017,5,185,255.04
5/3/2019,TSLA190503C00190000,0,0,63.25,66.7,0,0.02,1,0.0003,3,190,255.04
5/3/2019,TSLA190503C00195000,0,0,57.5,62.4,0,0.02,1,0.0019,0,195,255.04
5/3/2019,TSLA190503C00200000,55.3,10.85,54.35,55.7,3,0.02,1,0.0021,69,200,255.04
5/3/2019,TSLA190503C00205000,0,0,47.55,52.4,0,0.02,1,0.0024,16,205,255.04
5/3/2019,TSLA190503C00207500,0,0,45.85,49,0,0.02,1,0.0005,0,207.5,255.04
5/3/2019,TSLA190503C00210000,39.33,5.055,44.15,45.7,4,0.02,1,0.0005,60,210,255.04
5/3/2019,TSLA190503C00212500,0,0,42,42.75,0,0.02,1,0.0019,78,212.5,255.04
5/3/2019,TSLA190503C00215000,38.8,9.275,39.65,40.35,12,0.02,1,0.0029,41,215,255.04
5/3/2019,TSLA190503C00217500,0,0,35.85,39,0,0.02,1,0.0008,5,217.5,255.04
5/3/2019,TSLA190503C00220000,35.14,10.815,34.65,35.25,114,0.02,1,0.0009,304,220,255.04
5/3/2019,TSLA190503C00222500,32.24,10.64,32.15,32.8,67,0.02,1,0.001,91,222.5,255.04
5/3/2019,TSLA190503C00225000,30.85,11.5,29.65,30.3,68,0.02,1,0.0018,248,225,255.04
5/3/2019,TSLA190503C00227500,27.99,10.965,26.95,27.85,6,0.02,1,0.0019,142,227.5,255.04
5/3/2019,TSLA190503C00230000,24.85,10.25,24.5,25.25,263,0.02,1,0.001,594,230,255.04
5/3/2019,TSLA190503C00232500,22.5,10.375,22.1,22.8,192,0.02,1,0.0035,711,232.5,255.04
5/3/2019,TSLA190503C00235000,19.95,10.125,19.55,20.25,1047,0.02,1,0.0061,2678,235,255.04
5/3/2019,TSLA190503C00237500,17.3,9.725,17,17.75,1226,0.02,1,0.0067,2006,237.5,255.04
5/3/2019,TSLA190503C00240000,15,9.475,14.5,15.25,3580,0.02,1,0.0088,4022,240,255.04
5/3/2019,TSLA190503C00242500,12.47,8.72,12.1,12.75,3329,0.02,1,0.0093,1896,242.5,255.04
5/3/2019,TSLA190503C00245000,10.05,7.725,9.55,10.25,6872,0.02,1,0.0151,5233,245,255.04
5/3/2019,TSLA190503C00247500,7.39,6.05,7.05,7.75,6606,0.02,1,0.0222,2946,247.5,255.04
5/3/2019,TSLA190503C00250000,5,4.275,4.9,5.25,21745,0.02,0.9459,0.0348,9644,250,255.04
